ligand_id,smiles,affinity
20429,[H]c1nc([H])c([H])c([C@]2([H])N(C([H])([H])C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[C@]2([H])C(=O)N([H])C(=O)N([H])c2c([H])c([H])c([H])c(-n3c([H])c([H])c([H])c3[H])c2[H])c1[H],0.215576171875
45686,[H]OC([H])([H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])N2[C@]([H])(c3c([H])c([H])nc([H])c3[H])[C@]([H])(C(=O)N([H])C(=O)N([H])C([H])([H])OC([H])([H])[H])C([H])([H])[C@]2([H])c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H],0.2098388671875
46381,[H]c1nc(N([H])C(=O)N([H])C(=O)[C@@]2([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N(C(=O)C([H])([H])C([H])([H])C(=O)c3c([H])c([H])c([H])c([H])c3-c3nc([H])c([H])c(C([H])([H])[H])c3[H])[C@@]2([H])c2c([H])c([H])nc([H])c2[H])c([H])c([H])c1[H],0.2095947265625
46936,[H]c1nc(C(=O)N([H])[H])c(N([H])C(=O)N([H])C(=O)[C@@]2([H])C([H])([H])[C@@]([H])(c3c([H])nc([H])c([H])c3[H])N(C(=O)c3c(Oc4c([H])nc([H])c([H])c4[H])nc([H])c([H])c3[H])[C@]2([H])c2c([H])c([H])nc([H])c2[H])nc1[H],0.2056884765625
9887,[H]c1sc([C@@]2([H])N(c3c([H])c(F)c([H])c([H])c(C([H])([H])[H])c3=O)[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[C@@]2([H])C(=O)N([H])C(=O)N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])c([H])c1[H],0.204833984375
23984,[H]c1nc(N([H])C(=O)N([H])C(=O)[C@]2([H])C([H])([H])[C@@]([H])(c3oc([H])c([H])c3[H])N(C([H])([H])[H])[C@]2([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c1N1C([H])([H])C([H])([H])C1([H])[H],0.203125
20959,[H]c1nc([C@]2([H])N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])C([H])([H])OC([H])([H])C([H])([H])N([H])C3([H])[H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[C@]2([H])C(=O)N([H])C(=O)N([H])C([H])([H])[H])c([H])c([H])c1[H],0.201904296875
29706,[H]c1nc2c(C([H])([H])[H])c([H])c(F)c([H])c2c(N2[C@]([H])(c3sc([H])c([H])c3[H])[C@]([H])(C(=O)N([H])C(=O)N([H])c3c([H])c([H])c(F)c([H])c3[H])C([H])([H])[C@]2([H])c2c([H])c([H])c([H])c([H])c2[H])c1[H],0.20166015625
16127,[H]c1oc([C@@]2([H])N(C(=O)c3c([H])c(F)c([H])c(C([H])([H])[H])c3OC([H])([H])[H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[C@@]2([H])C(=O)N([H])C(=O)N([H])C2([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],0.196044921875
45594,[H]c1oc([C@@]2([H])N(C([H])([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])n3C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])[C@]([H])(C(=O)N([H])C(=O)N([H])C(=O)c3c([H])c([H])c([H])c([H])c3[H])C2([H])[H])c([H])c1[H],0.1951904296875
37030,[H]c1nnc(C([H])([H])[H])c([H])c1N1[C@]([H])(c2oc([H])c([H])c2[H])[C@@]([H])(C(=O)N([H])C(=O)N([H])c2c([H])c([H])c(OC([H])([H])[H])c(F)c2[H])C([H])([H])[C@]1([H])c1c([H])c([H])c([H])c([H])c1[H],0.194091796875
35140,[H]c1nc([H])c([C@@]2([H])N(C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])[C@@]([H])(C(=O)N([H])C(=O)N([H])[C@]3([H])C([H])([H])[C@@]3([H])C3([H])C([H])([H])C([H])([H])C3([H])[H])C2([H])[H])c([H])c1[H],0.1934814453125
47191,[H]c1nc(N([H])C(=O)N([H])C(=O)[C@@]2([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N(C([H])([H])c3oc(-c4c([H])c([H])c([H])c([H])c4[H])c([H])c3[H])[C@@]2([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c1Cl,0.1932373046875
2597,[H]C1=C([H])[C@]([H])(N2[C@]([H])(c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)[C@@]([H])(C(=O)N([H])C(=O)N([H])C([H])([H])[H])C([H])([H])[C@]2([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])N([C@]2([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],0.1927490234375
38177,[H]c1c([H])c([H])c([C@@]2([H])N(C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c([H])c4c([H])c([H])c([H])c([H])c34)C([H])([H])[C@]2([H])C(=O)N([H])C(=O)N([H])c2nc(C([H])([H])[H])c3c([H])nc(F)c([H])c3n2)c([H])c1[H],0.1923828125
9062,[H]c1nc(C([H])([H])[H])nc([H])c1S(=O)(=O)N1[C@@]([H])(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[C@]([H])(C(=O)N([H])C(=O)N([H])c2c([H])c([H])c([H])c([H])c2N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[C@]1([H])c1sc([H])c([H])c1[H],0.1910400390625
28181,[H]c1c(N([H])C(=O)N([H])C(=O)[C@@]2([H])C([H])([H])[C@]([H])(c3c([H])c([H])c([H])c(C([H])([H])[H])c3[H])N(C(=O)C3([H])C([H])([H])C([H])([H])C3([H])[H])[C@@]2([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])nc(C([H])([H])[H])c([H])c1[H],0.1907958984375
44572,[H]c1oc([C@@]2([H])N(C([H])([H])C([H])([H])[C@]3([H])C([H])([H])OC([H])([H])C3([H])[H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])[C@]([H])(C(=O)N([H])C(=O)N([H])C([H])([H])[C@]3([H])OC([H])([H])C([H])([H])C(=O)C3([H])[H])C2([H])[H])c([H])c1[H],0.1905517578125
23148,[H]c1nc([H])c(N([H])C(=O)N([H])C(=O)[C@@]2([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])c(C([H])([H])[H])c3[H])N(C(=O)C3([H])OC([H])([H])C([H])([H])C([H])([H])O3)[C@@]2([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])nc1[H],0.18994140625
45258,[H]c1nc([H])c(N2[C@]([H])(c3c([H])c([H])c([H])c(-c4c([H])c([H])c([H])c(C([H])([H])[H])c4[H])c3[H])C([H])([H])[C@@]([H])(C(=O)N([H])C(=O)N([H])c3c([H])c([H])c([H])c(OC([H])([H])[H])c3[H])[C@]2([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H],0.1898193359375
7720,[H]c1sc([C@@]2([H])N(C(=O)N([H])c3c([H])c(C([H])([H])[H])nc4c3C([H])([H])C([H])([H])C([H])([H])O4)[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[C@@]2([H])C(=O)N([H])C(=O)N([H])C([H])([H])[H])c([H])c1[H],0.1884765625
13357,[H]c1nc([H])c([C@]2([H])N(C([H])([H])c3c(C([H])([H])[H])nc([H])c([H])c3Cl)[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])[C@]([H])(C(=O)N([H])C(=O)N([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C2([H])[H])c([H])c1[H],0.1883544921875
24081,[H]c1nc([H])c([H])c([C@@]2([H])N([C@@]3([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[C@@]2([H])C(=O)N([H])C(=O)N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1[H],0.18798828125
45326,[H]c1nn(C([H])([H])c2c([H])c([H])c([C@@]3([H])N(C(=O)N([H])C(=O)C4([H])C([H])([H])C([H])([H])C4([H])[H])[C@]([H])(c4c([H])c([H])c([H])c(C([H])([H])[H])c4[H])C([H])([H])[C@@]3([H])C(=O)N([H])C(=O)N([H])C([H])([H])C([H])([H])[H])c([H])c2[H])c([H])c1[H],0.1871337890625
46336,[H]c1nc(N([H])C(=O)N([H])C(=O)[C@@]2([H])C([H])([H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N(C(=O)[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])[C@]2([H])c2oc([H])c([H])c2[H])c([H])c([H])c1C([H])([H])[H],0.18505859375
19383,[H]c1c([H])c([H])c([C@]2([H])N(C([H])([H])C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])[C@]([H])(C(=O)N([H])C(=O)N([H])c3c([H])c([H])c(-c4c([H])c([H])c5nc(C([H])([H])[H])n(C([H])([H])[H])c5c4[H])c([H])c3[H])C2([H])[H])c([H])c1[H],0.18505859375
46141,[H]C1=C([H])[C@@]([H])(C(=O)N([H])[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])N2[C@]([H])(c3c([H])c([H])nc([H])c3[H])[C@]([H])(C(=O)N([H])C(=O)N([H])C([H])([H])[H])C([H])([H])[C@]2([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H],0.184326171875
19449,[H]c1c([H])c([H])c([C@@]2([H])N(C(=O)[C@@]([H])(N([H])C3([H])C([H])([H])C3([H])[H])C([H])([H])[H])[C@@]([H])(c3c([H])c([H])c([H])c(C([H])([H])[H])c3[H])C([H])([H])[C@@]2([H])C(=O)N([H])C(=O)N([H])[C@@]2([H])C(=O)C([H])([H])C2([H])[H])c([H])c1[H],0.184326171875
20179,[H]c1nc([H])c([C@@]2([H])N(C(=O)OC3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[C@@]2([H])C(=O)N([H])C(=O)N([H])c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)c([H])c1[H],0.184326171875
46192,[H]c1nc([H])c([C@@]2([H])N(C(=O)C([H])([H])OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])[C@]([H])(C(=O)N([H])C(=O)N([H])c3c([H])c([H])c([H])c(C([H])([H])[H])c3[H])C2([H])[H])c([H])c1[H],0.1822509765625
45573,[H]c1oc([C@@]2([H])N(C(=O)C([H])([H])C([H])([H])N3C(=O)C([H])([H])C([H])([H])C3([H])[H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])[C@]2([H])C(=O)N([H])C(=O)N([H])C([H])([H])C([H])([H])c2c([H])c([H])c(Cl)c([H])c2[H])c([H])c1[H],0.1817626953125
23502,[H]c1nc(N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c([H])c1N([H])C(=O)N([H])C(=O)[C@@]1([H])C([H])([H])[C@]([H])(c2oc([H])c([H])c2[H])N([C@]2([H])C([H])([H])N([H])C([H])([H])C2([H])[H])[C@]1([H])c1c([H])c([H])c([H])c([H])c1[H],0.1817626953125
23853,[H]c1nc(N([H])C(=O)N([H])C(=O)[C@]2([H])C([H])([H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N(C([H])([H])[H])[C@]2([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c(N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])n1,0.181640625
24209,[H]c1nc(N([H])C(=O)N([H])C(=O)[C@]2([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N(C([H])([H])c3c([H])c([H])c(C4([H])C([H])([H])C([H])([H])C4([H])[H])c([H])c3[H])[C@]2([H])c2nc([H])c([H])c([H])c2[H])no1,0.18017578125
