ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Np Likeness Score,Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL1392064,,,Small molecule,,278.7,21,23,3.19,71.45,4,2,0,4,N,0.9,3.89,2.93,3.85,0.95,2,MOL,-1,19,5,2,0,278.0458,-1.67,ACID,C13H11ClN2O3,COc1ccc(Nc2cc(Cl)ccc2C(=O)O)cn1,UYMKSOUAEXWFOT-UHFFFAOYSA-N
CHEMBL1312739,,,Small molecule,,338.32,20,21,2.07,95.94,5,2,0,3,N,0.66,6.56,None,2.2,1.34,2,MOL,-1,25,7,2,0,338.0903,-0.71,NEUTRAL,C18H14N2O5,COc1cc(/C=C2/C(=O)NC(=O)N(c3ccccc3)C2=O)ccc1O,NDHNSVODXUTNDC-LCYFTJDESA-N
CHEMBL1421333,,,Small molecule,,385.47,25,30,4.15,66.84,5,1,0,6,N,0.6,3.94,None,4.18,0.99,2,MOL,-1,26,5,1,0,385.0442,-1.39,ACID,C19H15NO4S2,O=C(O)CCN1C(=O)/C(=C\c2cccc(Oc3ccccc3)c2)SC1=S,MOQGNPLRXWWHSS-FOWTUZBSSA-N
CHEMBL4444120,,,Unknown,,790.92,6,8,1.98,261.47,11,9,3,23,N,0.03,11.38,11.71,0.25,-3.94,3,MOL,-1,57,17,11,3,790.4014,0.09,BASE,C40H54N8O9,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)c1ccccc1,PLGCGWZPAZFWLQ-MFPTWKISSA-N
CHEMBL1409740,,,Small molecule,,320.78,14,17,1.9,49.85,4,0,0,3,N,0.8,None,0.24,2.03,2.03,1,MOL,-1,22,5,0,0,320.0928,-1.32,NEUTRAL,C16H17ClN2O3,CCc1ccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)cc1,OYTPEXVATMJROZ-UHFFFAOYSA-N
CHEMBL4649859,,,Unknown,,684.54,6,10,5.93,129.33,4,5,2,13,N,0.1,11.54,10.26,5.37,3.25,3,MOL,-1,39,8,6,3,569.196,-1.01,BASE,C31H34Cl2F3N5O5,CCCCCC(=O)N[C@H](C(=O)NCc1ccc(NC(=N)N)cc1)c1ccc(OCc2c(Cl)cccc2Cl)cc1.O=C(O)C(F)(F)F,QXLNBDFHCGFQLQ-YCBFMBTMSA-N
CHEMBL4635643,,,Unknown,,640.66,5,9,4.5,153.12,5,5,1,13,N,0.13,12.1,10.28,4.08,1.89,3,MOL,-1,39,9,6,2,526.2692,-1.01,BASE,C32H35F3N6O5,CCCCCC(=O)N[C@H](C(=O)NCc1ccc(NC(=N)N)cc1)c1ccc(OCc2ccc(C#N)cc2)cc1.O=C(O)C(F)(F)F,XTHGGCSOZVRVPH-JCOPYZAKSA-N
CHEMBL1349629,,,Small molecule,,340.19,14,14,3.52,89.1,6,2,0,2,N,0.7,5.15,0.51,4.09,2.25,3,MOL,-1,21,5,3,0,338.9636,-1.22,ACID,C13H7Cl2N3O2S,Nc1nc2ncc(C(=O)c3cc(Cl)cc(Cl)c3O)cc2s1,MRKCFRHCSVSAEV-UHFFFAOYSA-N
CHEMBL1311109,,,Small molecule,,376.91,45,66,5.46,54.37,3,1,1,6,N,0.54,3.68,None,5.6,2.29,2,MOL,-1,25,3,1,1,376.09,-0.92,ACID,C20H21ClO3S,CC(C)(C)c1ccc(C(=O)CC(Sc2ccc(Cl)cc2)C(=O)O)cc1,LWFKAUBYCJNQTD-UHFFFAOYSA-N
CHEMBL1327390,,,Small molecule,,456.55,15,16,4.01,95.94,6,2,0,8,N,0.46,3.56,None,4.62,1.26,2,MOL,-1,31,7,2,0,456.0814,-1.75,ACID,C22H20N2O5S2,CCOc1ccc(/C=C2\SC(=S)N(CCC(=O)Nc3ccccc3C(=O)O)C2=O)cc1,FQGAOUZLMHHXJR-AQTBWJFISA-N
CHEMBL179574,,,Small molecule,,376.2,11,12,4.8,90.39,2,3,0,4,N,0.57,2.95,None,4.69,-2.12,3,MOL,-1,25,5,3,0,375.0065,-0.34,ACID,C18H11Cl2NO4,O=C(O)/C(=C\c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)c1ccccc1,LPWVUDLZUVBQGP-FLIBITNWSA-N
CHEMBL4647630,,,Unknown,,482.63,5,9,3.1,136.54,5,4,0,16,N,0.27,12.04,10.2,2.73,0.13,2,MOL,-1,35,8,6,1,482.2893,-0.35,BASE,C27H38N4O4,CCCCCC(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(N)=O)c1ccc(OCc2ccccc2)cc1,DXLVFBACFMQSBK-ZCYQVOJMSA-N
CHEMBL1582895,,,Small molecule,,581.37,16,19,2.23,130.83,8,2,1,8,N,0.35,3.45,0.09,1.26,-2.13,1,MOL,-1,35,10,2,1,580.0239,-0.5,ACID,C20H20BrF3N4O6S,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CCn3nc(C(F)(F)F)c(Br)c3C3CC3)C2SC1,NUOQPJBWTMYGPF-UHFFFAOYSA-N
CHEMBL1602234,,,Small molecule,,403.46,17,17,3.69,66.84,5,1,0,6,N,0.59,3.39,None,4.15,0.75,2,MOL,-1,27,5,1,0,403.0348,-1.7,ACID,C19H14FNO4S2,O=C(O)CN1C(=O)/C(=C\c2cccc(OCc3ccc(F)cc3)c2)SC1=S,KMCNDFPEDGPVEJ-CXUHLZMHSA-N
CHEMBL5204060,,,,,365.24,6,9,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,365.1798,None,None,C21H24BNO4,O=C(Nc1ccc2c(c1)B(O)OC2)c1cccc(OCC2CCCCC2)c1,XYMZSYOPXHKMOA-UHFFFAOYSA-N
CHEMBL5195025,,,,,384.2,7,10,None,None,None,None,None,None,None,None,None,None,None,None,None,MOL,0,None,None,None,None,384.1281,None,None,C22H17BN2O4,N#Cc1ccc(COc2cccc(C(=O)Nc3ccc4c(c3)B(O)OC4)c2)cc1,LRJPUHDVYUXPIH-UHFFFAOYSA-N
